dataset,filename,encode_ms
Dataset 1,estadoActual4.jpg,0.4054
Dataset 1,estadoActual40.jpg,0.3424
Dataset 1,estadoActual41.jpg,0.4749
Dataset 1,estadoActual42.jpg,0.3798
Dataset 1,estadoActual43.jpg,0.9434
Dataset 1,estadoActual44.jpg,0.8082
Dataset 1,estadoActual45.jpg,0.9373
Dataset 1,estadoActual46.jpg,0.9077
Dataset 1,estadoActual47.jpg,0.8953
Dataset 1,estadoActual48.jpg,0.8981
Dataset 1,estadoActual49.jpg,1.1753
Dataset 1,estadoActual5.jpg,1.8703
Dataset 1,estadoActual50.jpg,0.956
Dataset 1,estadoActual51.jpg,0.9207
Dataset 1,estadoActual52.jpg,0.7715
Dataset 1,estadoActual53.jpg,0.9497
Dataset 1,estadoActual54.jpg,0.9194
Dataset 1,estadoActual55.jpg,0.8192
Dataset 1,estadoActual56.jpg,0.8075
Dataset 1,estadoActual57.jpg,0.9408
Dataset 1,estadoActual58.jpg,0.8931
Dataset 1,estadoActual59.jpg,0.887
Dataset 1,estadoActual6.jpg,0.9496
Dataset 1,estadoActual60.jpg,0.9005
Dataset 1,estadoActual61.jpg,0.932
Dataset 1,estadoActual62.jpg,4.0802
Dataset 1,estadoActual63.jpg,1.0465
Dataset 1,estadoActual64.jpg,0.9514
Dataset 1,estadoActual65.jpg,0.8675
Dataset 1,estadoActual66.jpg,2.71
Dataset 1,estadoActual67.jpg,0.9298
Dataset 1,estadoActual68.jpg,0.9008
Dataset 1,estadoActual69.jpg,1.0234
Dataset 1,estadoActual7.jpg,0.9639
Dataset 1,estadoActual70.jpg,0.8997
Dataset 1,estadoActual71.jpg,0.7871
Dataset 1,estadoActual72.jpg,0.9726
Dataset 1,estadoActual73.jpg,1.0068
Dataset 1,estadoActual74.jpg,1.061
Dataset 1,estadoActual75.jpg,0.9283
Dataset 1,estadoActual76.jpg,0.8881
Dataset 1,estadoActual77.jpg,0.8344
Dataset 1,estadoActual78.jpg,1.0006
Dataset 1,estadoActual79.jpg,0.8342
Dataset 1,estadoActual8.jpg,1.0393
Dataset 1,estadoActual80.jpg,0.9732
Dataset 1,estadoActual81.jpg,0.8128
Dataset 1,estadoActual82.jpg,0.7384
Dataset 1,estadoActual83.jpg,1.4581
Dataset 1,estadoActual84.jpg,0.7876
Dataset 1,estadoActual85.jpg,0.7846
Dataset 1,estadoActual86.jpg,1.1491
Dataset 1,estadoActual87.jpg,0.9284
Dataset 1,estadoActual88.jpg,0.9434
Dataset 1,estadoActual89.jpg,1.0879
Dataset 1,estadoActual9.jpg,0.8833
Dataset 1,estadoActual90.jpg,1.8485
Dataset 1,estadoActual91.jpg,0.8814
Dataset 1,estadoActual92.jpg,0.7123
Dataset 1,estadoActual93.jpg,1.024
Dataset 1,estadoActual94.jpg,0.8734
Dataset 1,estadoActual95.jpg,0.84
Dataset 1,estadoActual96.jpg,0.9085
Dataset 1,estadoActual97.jpg,0.8621
Dataset 1,estadoActual98.jpg,1.0477
Dataset 1,estadoActual99.jpg,0.7045
Dataset 2,estadoActual0.jpg,0.4546
Dataset 2,estadoActual1.jpg,0.8419
Dataset 2,estadoActual10.jpg,0.9344
Dataset 2,estadoActual11.jpg,1.1792
Dataset 2,estadoActual12.jpg,0.6929
Dataset 2,estadoActual13.jpg,0.7969
Dataset 2,estadoActual14.jpg,0.9777
Dataset 2,estadoActual15.jpg,0.9441
Dataset 2,estadoActual16.jpg,4.3418
Dataset 2,estadoActual17.jpg,1.303
Dataset 2,estadoActual18.jpg,0.7748
Dataset 2,estadoActual19.jpg,0.8073
Dataset 2,estadoActual2.jpg,0.8957
Dataset 2,estadoActual20.jpg,1.7475
Dataset 2,estadoActual21.jpg,0.9331
Dataset 2,estadoActual22.jpg,0.5964
Dataset 2,estadoActual23.jpg,0.8744
Dataset 2,estadoActual24.jpg,0.7122
Dataset 2,estadoActual25.jpg,0.7551
Dataset 2,estadoActual26.jpg,0.8272
Dataset 2,estadoActual27.jpg,0.8099
Dataset 2,estadoActual28.jpg,1.0934
Dataset 2,estadoActual29.jpg,0.9085
Dataset 2,estadoActual3.jpg,1.2066
Dataset 2,estadoActual30.jpg,0.9226
Dataset 2,estadoActual31.jpg,0.7699
Dataset 2,estadoActual32.jpg,0.7235
Dataset 2,estadoActual33.jpg,0.9836
Dataset 2,estadoActual34.jpg,0.8933
Dataset 2,estadoActual35.jpg,0.8018
Dataset 2,estadoActual36.jpg,1.1551
Dataset 2,estadoActual37.jpg,0.924
Dataset 2,estadoActual38.jpg,2.8221
Dataset 2,estadoActual39.jpg,0.6285
Dataset 2,estadoActual4.jpg,0.9754
Dataset 2,estadoActual5.jpg,0.7527
Dataset 2,estadoActual6.jpg,5.3664
Dataset 2,estadoActual7.jpg,1.1462
Dataset 2,estadoActual8.jpg,3.6255
Dataset 2,estadoActual9.jpg,0.7948
Dataset 3,estadoActual0.jpg,0.5124
Dataset 3,estadoActual1.jpg,0.7183
Dataset 3,estadoActual10.jpg,0.706
Dataset 3,estadoActual100.jpg,0.7261
Dataset 3,estadoActual101.jpg,0.707
Dataset 3,estadoActual102.jpg,3.281
Dataset 3,estadoActual103.jpg,0.5865
Dataset 3,estadoActual104.jpg,0.6412
Dataset 3,estadoActual105.jpg,0.7339
Dataset 3,estadoActual106.jpg,0.655
Dataset 3,estadoActual107.jpg,0.6289
Dataset 3,estadoActual108.jpg,0.6231
Dataset 3,estadoActual109.jpg,0.7226
Dataset 3,estadoActual11.jpg,3.6277
Dataset 3,estadoActual110.jpg,1.0082
Dataset 3,estadoActual111.jpg,0.7198
Dataset 3,estadoActual112.jpg,0.8315
Dataset 3,estadoActual113.jpg,0.8504
Dataset 3,estadoActual114.jpg,0.8167
Dataset 3,estadoActual115.jpg,0.5892
Dataset 3,estadoActual116.jpg,0.8055
Dataset 3,estadoActual117.jpg,0.8334
Dataset 3,estadoActual118.jpg,0.886
Dataset 3,estadoActual119.jpg,0.8024
Dataset 3,estadoActual12.jpg,0.853
